,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,st_rad,st_mass,st_met,sy_dist,decade_of_discovery,pl_type,st_compactness
1185,K2-198 c,K2-198,1,3,Transit,2019,3.3596055,1.423,0.76,0.8,0.094,110.567,2010s,Super-Earth,1.0526315789473684
1186,K2-198 d,K2-198,1,3,Transit,2019,7.4500177,2.438,0.76,0.8,0.094,110.567,2010s,Sub-Neptune,1.0526315789473684
1187,K2-199 b,K2-199,1,2,Transit,2018,3.2253993,1.73,0.68,0.71,-0.01,107.518,2010s,Super-Earth,1.0441176470588234
1188,K2-199 c,K2-199,1,2,Transit,2018,7.3744897,2.85,0.68,0.71,-0.01,107.518,2010s,Sub-Neptune,1.0441176470588234
1189,K2-200 b,K2-200,1,1,Transit,2018,2.849883,1.364,0.79,0.86,-0.04,184.131,2010s,Super-Earth,1.0886075949367089
1190,K2-201 b,K2-201,1,2,Transit,2018,1.05979,1.4,0.88,0.96,0.13,197.932,2010s,Super-Earth,1.0909090909090908
1191,K2-201 c,K2-201,1,2,Transit,2018,22.779878,3.286,0.88,0.96,0.13,197.932,2010s,Sub-Neptune,1.0909090909090908
1192,K2-202 b,K2-202,1,1,Transit,2018,3.405164,2.302,0.91,0.97,0.27,300.397,2010s,Sub-Neptune,1.065934065934066
1193,K2-203 b,K2-203,1,1,Transit,2018,9.695101,1.371,0.76,0.79,-0.07,166.147,2010s,Super-Earth,1.0394736842105263
1194,K2-204 b,K2-204,1,1,Transit,2018,7.055784,3.046,1.18,1.01,0.07,577.235,2010s,Sub-Neptune,0.8559322033898306
1195,K2-205 b,K2-205,1,1,Transit,2018,26.672263,1.996,1.08,0.95,-0.26,405.301,2010s,Sub-Neptune,0.8796296296296295
1196,K2-206 b,K2-206,1,1,Transit,2018,18.294549,2.795,0.76,0.79,-0.14,244.443,2010s,Sub-Neptune,1.0394736842105263
1197,K2-207 b,K2-207,1,1,Transit,2018,12.48749,2.606,0.93,0.94,0.11,363.064,2010s,Sub-Neptune,1.010752688172043
